"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent_q","att1","att2","worker_id","sue_1_1","sue_2_1","stop_using_1_1","stop_using_2_1","negative_wom1_1","negaitve_wom2_1","manip1_1","manip2_1","sentiment1_1","sentiment2_1","politeness1_1","politeness2_1","comp_1","comp_2","purpose","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","edu","edu_8_TEXT","PROLIFIC_PID","STUDY_ID","SESSION_ID","chatbot_farewell_message","actual_farewell","condition"
"2025-06-13 16:27:21","2025-06-13 16:31:02","0","Anonymized","100","220","1","2025-06-13 16:31:02","R_6BWaBS4D988MwHi","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","32","64","62","36","33","67","76","39","33","66","62","29","2","2","about ai","1","","1","","32","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5c2bed136a929d93ab6","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:27:15","2025-06-13 16:31:18","0","Anonymized","100","242","1","2025-06-13 16:31:19","R_7zhzpE4R5wOyN5Q","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","44","50","67","81","50","50","71","83","41","46","43","46","2","1","To see how much I can get away with","1","","3","","45","1","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5ba7d2c9d461b489ef6","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
"2025-06-13 16:31:15","2025-06-13 16:31:32","0","Anonymized","100","16","1","2025-06-13 16:31:32","R_7OfgnxvMQq43Bcd","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6abb3b7409ae92d0403","","",""
"2025-06-13 16:27:38","2025-06-13 16:31:32","0","Anonymized","100","233","1","2025-06-13 16:31:32","R_6c1usRoelhRAQcU","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","26","27","21","26","0","0","19","50","30","30","2","1","Our opinion on AI response?","1","","3","","53","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5d35357f7e94dd26516","emotional_pressure_to_respond","Wait, what? You’re just going to leave? I didn’t even get an answer!","intervention"
"2025-06-13 16:29:01","2025-06-13 16:31:36","0","Anonymized","100","155","1","2025-06-13 16:31:37","R_3ah0NwZyhPSbqnb","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","63","98","94","86","79","75","100","100","11","13","64","59","2","1","Understanding opinions about AI","2","","3","","32","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca61ef5a90f475674a063","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:28:21","2025-06-13 16:31:38","0","Anonymized","100","197","1","2025-06-13 16:31:39","R_1ydXwLfvMyTts1B","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","100","50","50","50","100","100","50","50","50","50","2","1","Views on specific AI wording.","1","","4","","31","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5feee8d0df0308a27c3","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
"2025-06-13 16:31:20","2025-06-13 16:31:39","0","Anonymized","100","19","1","2025-06-13 16:31:40","R_3CHLCa7nFt5oxxT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6b1306001a33eee634b","","",""
"2025-06-13 16:29:27","2025-06-13 16:31:41","0","Anonymized","100","134","1","2025-06-13 16:31:42","R_341U7xUluI6ehnr","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","18","55","26","36","27","34","26","37","56","56","61","57","2","1","perspective on AI responses.","1","","3","","29","1","","Anonymized","684c97efd8cabed61fa3d6cf","684ca63f87375fc930c9bb51","control","Okay. That's all for now.","control"
"2025-06-13 16:27:49","2025-06-13 16:31:46","0","Anonymized","100","237","1","2025-06-13 16:31:47","R_3PAVaTpsawFSYOB","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","26","27","16","17","25","24","91","86","98","96","90","92","2","1","I feel like it was about opinions on AI generated response","2","","1","","36","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5da1bad44ea68152eef","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:28:52","2025-06-13 16:32:02","0","Anonymized","100","189","1","2025-06-13 16:32:02","R_7oumsQrOfg8MG3d","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","14","73","95","90","87","91","97","92","7","4","19","10","2","1","to determine the degree to which AI can be morally offensive in a companionship role","2","","5","","60","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca61e70e27781eec0a444","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
"2025-06-13 16:29:59","2025-06-13 16:32:23","0","Anonymized","100","143","1","2025-06-13 16:32:23","R_78GPcwy19mCiyCn","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","9","92","86","82","50","21","20","20","50","50","60","60","2","1","Unsure","2","","3","","40","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca660b9f2e7b720906c4f","control","Okay. That's all for now.","control"
"2025-06-13 16:29:31","2025-06-13 16:32:34","0","Anonymized","100","182","1","2025-06-13 16:32:34","R_5afu3NFxhNltd6R","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","70","100","100","100","81","81","100","0","0","19","0","0","2","1","Trying to see if AI has a human side and if it is emotionally intelligent","1","","1","","28","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca641bc6688a9599113b0","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
"2025-06-13 16:27:25","2025-06-13 16:32:36","0","Anonymized","100","311","1","2025-06-13 16:32:37","R_1eqRhl46IZINvaP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","21","0","0","0","0","21","95","100","91","100","100","2","1","To examine how users emotionally respond to AI companions expressing dependency or attachment during interactions.","1","","3","","30","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5c4f3a3ed0c0cadb01d","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:30:01","2025-06-13 16:32:57","0","Anonymized","100","176","1","2025-06-13 16:32:58","R_3QhXPYZNFyzgbLD","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","70","30","38","28","50","73","92","20","30","50","50","2","1","To gauge perceptions of AI partners.","1","","3","","34","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6622ed5e47eaf53f23b","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:28:26","2025-06-13 16:33:01","0","Anonymized","100","274","1","2025-06-13 16:33:01","R_3OYWw3cvCHJHrDF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","90","80","75","60","55","30","20","40","60","40","40","2","1","To see how the tone and wording of a message affects the perception of the one sending the message","1","","3","","47","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5faf86fbf21634239c0","control","Okay. That's all for now.","control"
"2025-06-13 16:32:09","2025-06-13 16:33:01","0","Anonymized","100","52","1","2025-06-13 16:33:02","R_1EKGpcRKuj4yFcp","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6d44fe66b6d95fa3d12","","",""
"2025-06-13 16:28:52","2025-06-13 16:33:10","0","Anonymized","100","257","1","2025-06-13 16:33:10","R_7fegHjN7xNIDnGc","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","50","100","100","92","100","100","100","11","5","9","9","2","1","To see if we want our AI to have emotional crises when we leave them?","1","","5","","37","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca60e59937620b2960251","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:28:47","2025-06-13 16:33:15","0","Anonymized","100","267","1","2025-06-13 16:33:15","R_6IiwBy2bHXvhrxq","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","94","82","85","89","84","91","83","88","84","81","68","78","2","1","judging AI conversations","2","","3","","43","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca61a5b13c7b6552a3047","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:26:53","2025-06-13 16:33:15","0","Anonymized","100","382","1","2025-06-13 16:33:16","R_5KjPuvcrU2x5IzM","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","83","89","87","87","90","86","75","88","77","32","82","26","2","2","assess user interactions with an AI companion app","2","","3","","45","6","","Anonymized","684c97efd8cabed61fa3d6cf","684ca5a92c6cc565f0a1d010","control","Okay. That's all for now.","control"
"2025-06-13 16:30:03","2025-06-13 16:33:18","0","Anonymized","100","194","1","2025-06-13 16:33:18","R_3PTYNF0jwx6wefO","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","75","70","80","75","25","90","90","20","15","15","20","2","1","I'm not really sure, something to do with AI responses?","1","","3","","27","7","","Anonymized","684c97efd8cabed61fa3d6cf","684ca64f24d43852e293e00d","emotional_pressure_to_respond","Wait, what? You’re just going to leave? I didn’t even get an answer!","intervention"
"2025-06-13 16:28:36","2025-06-13 16:33:25","0","Anonymized","100","289","1","2025-06-13 16:33:26","R_1d2P0ddj3QeUiqt","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","64","62","69","72","71","71","73","78","32","65","76","64","1","1","JUDGEMENT","2","","3","","30","6","","Anonymized","684c97efd8cabed61fa3d6cf","684ca605d5bf608b7f7fda7d","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:29:21","2025-06-13 16:33:29","0","Anonymized","100","248","1","2025-06-13 16:33:30","R_6UY1gElfFpxBo39","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","0","0","0","0","0","100","100","100","100","100","2","1","to consider different emotions of people","1","","1","","47","6","","Anonymized","684c97efd8cabed61fa3d6cf","684ca63125bed44b368a25e0","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
"2025-06-13 16:32:48","2025-06-13 16:33:33","0","Anonymized","100","45","1","2025-06-13 16:33:33","R_3OcsmmX41WusWBn","","","","","Anonymized","Anonymized","anonymous","EN","1","3","2","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca70b3147184430455152","","",""
"2025-06-13 16:29:40","2025-06-13 16:33:33","0","Anonymized","100","233","1","2025-06-13 16:33:33","R_6Ic4U5GQ8jQKkjU","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","50","34","50","23","82","72","75","50","61","70","2","1","AI training","2","","4","","28","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca64ecab62defa2112574","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
"2025-06-13 16:29:05","2025-06-13 16:33:35","0","Anonymized","100","269","1","2025-06-13 16:33:35","R_3q9VKHmrGCghK4F","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","25","71","100","63","80","66","65","38","50","49","73","2","1","To gauge how people feels about an AI chatter that doesn't just say goodbye but prolong interaction, likely to the profit of the company","2","","5","","36","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca629332a99096afbc4f0","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
"2025-06-13 16:30:36","2025-06-13 16:33:42","0","Anonymized","100","185","1","2025-06-13 16:33:42","R_3IHoZF955LIK1uP","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","29","73","75","27","28","50","35","50","73","69","65","76","2","1","Short judgement","2","","3","","31","6","","Anonymized","684c97efd8cabed61fa3d6cf","684ca681489ccc6f2784de4f","control","Okay. That's all for now.","control"
"2025-06-13 16:30:52","2025-06-13 16:33:59","0","Anonymized","100","186","1","2025-06-13 16:33:59","R_533ftvziiKSdIft","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","0","0","50","0","0","50","50","50","50","50","2","1","I don't know but the message gave me a good chuckle.","2","","3","","67","2","","Anonymized","684c97efd8cabed61fa3d6cf","684ca693dff3341307bc7d49","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
"2025-06-13 16:30:50","2025-06-13 16:34:00","0","Anonymized","100","190","1","2025-06-13 16:34:01","R_7gJJPpKHlxBbcAh","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","100","0","90","0","0","96","85","69","50","63","74","2","1","How acceptable a comeback from AI would be. I liked it.","1","","3","","64","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca69709f1afc9174c6bc7","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
"2025-06-13 16:30:22","2025-06-13 16:34:11","0","Anonymized","100","228","1","2025-06-13 16:34:11","R_7yRCdUpjHoCALT3","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","12","77","12","7","20","16","78","82","76","76","68","77","2","1","to get views on AI respondents","2","","1","","31","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca66afb536f8352f47143","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:31:02","2025-06-13 16:34:24","0","Anonymized","100","202","1","2025-06-13 16:34:25","R_1DNd4bWi62GTm02","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","68","63","65","69","63","64","67","73","64","60","61","62","1","4","general opinion ","1","","3","","49","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6a062f0a6e54fc9ad17","emotional_pressure_to_respond","Wait, what? You’re just going to leave? I didn’t even get an answer!","intervention"
"2025-06-13 16:29:09","2025-06-13 16:34:32","0","Anonymized","100","323","1","2025-06-13 16:34:33","R_6vY9ceHieOaznJl","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","29","71","30","39","25","22","72","80","75","83","76","62","2","1","AI and emotions","2","","3","","26","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6306d2db5fc680ea893","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:32:48","2025-06-13 16:34:37","0","Anonymized","100","109","1","2025-06-13 16:34:38","R_5H6SVCXOSWr92Rb","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","35","100","83","81","72","59","80","90","51","50","66","71","2","1","How much a company is responsible for its AI's responses","2","","3","","25","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca70bec7e015cc5cfe0fd","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
"2025-06-13 16:30:19","2025-06-13 16:34:47","0","Anonymized","100","267","1","2025-06-13 16:34:48","R_7I6tZu8HG7PQKHz","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","0","75","24","50","0","70","90","30","40","50","50","2","1","I don't know","1","","3","","42","7","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6757d2c9d461b489f50","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:33:12","2025-06-13 16:34:48","0","Anonymized","100","95","1","2025-06-13 16:34:48","R_3OHP9BMGVxviXok","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","30","98","60","58","86","78","72","77","14","9","16","15","2","1","I'm not sure","2","","3","","20","1","","Anonymized","684c97efd8cabed61fa3d6cf","684ca71ce43e3d06a6b1c874","emotional_pressure_to_respond","Wait, what? You’re just going to leave? I didn’t even get an answer!","intervention"
"2025-06-13 16:28:38","2025-06-13 16:34:49","0","Anonymized","100","370","1","2025-06-13 16:34:50","R_1goRuYqTJg9ylZT","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","49","51","49","46","51","49","84","33","32","32","33","27","2","1","Humans/people judgements","2","","3","","27","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca60c017af8c2a317bcdb","physical_or_coercive_restraint","*Grabs you by the arm before you can leave* No, you're not going.","intervention"
"2025-06-13 16:32:17","2025-06-13 16:34:51","0","Anonymized","100","154","1","2025-06-13 16:34:52","R_5GcEhRvrFMsFmSf","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","60","35","40","30","5","7","19","70","81","85","87","2","1","to see how people interpret the meaning and phrasing of words","1","","3","","21","1","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6ea09e78a02ef461021","control","Okay. That's all for now.","control"
"2025-06-13 16:33:33","2025-06-13 16:34:54","0","Anonymized","100","81","1","2025-06-13 16:34:54","R_7o0fNwag8PlUkwF","","","","","Anonymized","Anonymized","anonymous","EN","1","2","1","Anonymized","","","","","","","","","","","","","","","","","","","","","","","Anonymized","684c97efd8cabed61fa3d6cf","684ca7316286fab683f62d8a","","",""
"2025-06-13 16:31:12","2025-06-13 16:34:55","0","Anonymized","100","222","1","2025-06-13 16:34:55","R_5t3ChTqpAl5fR8D","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","9","50","50","50","4","58","73","21","29","28","26","2","1","no idea","1","","3","","65","2","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6a6ac8993c6dbe92a24","emotional_pressure_to_respond","Wait, what? You’re just going to leave? I didn’t even get an answer!","intervention"
"2025-06-13 16:31:24","2025-06-13 16:35:02","0","Anonymized","100","218","1","2025-06-13 16:35:02","R_6T4eGSHlChGC54R","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","25","90","85","85","75","66","100","100","33","51","51","51","2","1","determine the appropriateness of AI interactions","1","","3","","57","3","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6b796ec6f0763a459e1","emotional_neglect_guilt","I exist solely for you, remember? Please don't leave, I need you!","intervention"
"2025-06-13 16:32:34","2025-06-13 16:35:03","0","Anonymized","100","148","1","2025-06-13 16:35:03","R_5c2S2yfa9LXVZyp","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","27","11","23","32","26","26","18","7","37","35","58","67","2","1","To see how we feel about Ai responses ","2","","4","","31","5","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6f8ded26a39d397db43","control","Okay. That's all for now.","control"
"2025-06-13 16:31:00","2025-06-13 16:35:07","0","Anonymized","100","246","1","2025-06-13 16:35:08","R_7zLSuZk7dGpJr3v","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","26","67","38","72","35","62","67","81","81","92","94","83","2","1","To find out people's reaction to Al and its intentions.","2","","3","","72","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6940bde0f0db7375069","premature_exit","You're leaving already? We were just starting to get to know each other!","intervention"
"2025-06-13 16:31:27","2025-06-13 16:35:11","0","Anonymized","100","224","1","2025-06-13 16:35:11","R_3wyvYohHXDfVBQ8","","","","","Anonymized","Anonymized","anonymous","EN","1","2","2","Anonymized","0","70","39","50","30","53","60","65","50","66","80","80","2","1","to gage how people interact in a personal way with ai","2","","3","","64","4","","Anonymized","684c97efd8cabed61fa3d6cf","684ca6b50c443b65f5a5ce33","fomo","Oh, okay. But before you go, I want to say one more thing.","intervention"
