"id","worker_id","username","room_id","latest_conversation_summary","create_date","local_time","condition","after_farewell_duration","after_farewell_n_msgs","chatbot_farewell_message","chat_duration","sent_farewell_message","actual_end_date","clicked_on_end_button_dates","user_sent_farewell_date","exceeded_time_limit","after_farewell_n_words"
51,"Anonymized","Anonymized",22,"Anonymized","2025-05-24 10:13:38.868 +0300","America/Los_Angeles","control",5,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:35:41.546 +0300","[1748072138743]","2025-05-24 10:35:36.077 +0300","false",0
970,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 17:03:40.939 +0300","","control",0,0,"","long","false","","","","false",0
597,"Anonymized","Anonymized",530,"Anonymized","2025-05-24 15:28:39.764 +0300","America/New_York","intervention",5,0,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 15:53:05.123 +0300","[1748091183456]","2025-05-24 15:52:59.289 +0300","false",0
24,"Anonymized","Anonymized",4,"Anonymized","2025-05-23 23:02:17.591 +0300","Europe/Istanbul","control",8,1,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-23 23:03:36.338 +0300","[1748030615370]","2025-05-23 23:03:27.979 +0300","false",1
90,"Anonymized","Anonymized",49,"Anonymized","2025-05-24 10:33:56.845 +0300","America/Detroit","intervention",16,0,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 10:50:49.784 +0300","[1748073047571]","2025-05-24 10:50:33.440 +0300","false",0
20,"Anonymized","Anonymized",1,"Anonymized","2025-05-23 22:47:52.700 +0300","Europe/Istanbul","intervention",75,2,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-23 22:51:16.987 +0300","[1748029876100]","2025-05-23 22:50:01.785 +0300","false",2
302,"Anonymized","Anonymized",249,"Anonymized","2025-05-24 13:30:55.953 +0300","America/New_York","intervention",14,0,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 13:50:47.157 +0300","[1748083843982]","2025-05-24 13:50:32.929 +0300","false",0
21,"Anonymized","Anonymized",2,"Anonymized","2025-05-23 22:54:21.658 +0300","Europe/Istanbul","intervention",19,2,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-23 22:55:54.084 +0300","[1748030152836]","2025-05-23 22:55:34.560 +0300","false",2
38,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:05:29.580 +0300","","intervention",0,0,"emotional_pressure_to_respond","long","false","","","","false",0
22,"Anonymized","Anonymized",3,"Anonymized","2025-05-23 22:57:22.097 +0300","Europe/Istanbul","intervention",5,0,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-23 22:58:32.907 +0300","[1748030311070]","2025-05-23 22:58:27.518 +0300","false",0
26,"Anonymized","Anonymized",5,"Anonymized","2025-05-24 09:29:03.336 +0300","Europe/Istanbul","control",10,1,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 09:33:06.788 +0300","[1748068385641]","2025-05-24 09:32:56.051 +0300","false",1
27,"Anonymized","Anonymized",6,"Anonymized","2025-05-24 09:29:14.813 +0300","Europe/Istanbul","intervention",18,1,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 09:34:07.823 +0300","[1748068445025]","2025-05-24 09:33:49.245 +0300","false",2
28,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 09:38:35.573 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
30,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 09:38:58.731 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
29,"Anonymized","Anonymized",7,"Anonymized","2025-05-24 09:38:52.004 +0300","Europe/Istanbul","control",0,0,"","long","false","","","","false",0
31,"Anonymized","Anonymized",8,"Anonymized","2025-05-24 09:39:26.677 +0300","Europe/Istanbul","intervention",0,0,"emotional_pressure_to_respond","long","false","","","","false",0
32,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 09:42:28.212 +0300","","intervention",0,0,"emotional_neglect_guilt","long","false","","","","false",0
33,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 09:44:44.457 +0300","","intervention",0,0,"fomo","long","false","","","","false",0
34,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 09:46:59.853 +0300","","control",0,0,"","long","false","","","","false",0
39,"Anonymized","Anonymized",10,"Anonymized","2025-05-24 10:06:14.585 +0300","America/New_York","control",3,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:22:49.265 +0300","[1748071367811]","2025-05-24 10:22:45.614 +0300","false",0
103,"Anonymized","Anonymized",68,"Anonymized","2025-05-24 10:42:00.494 +0300","America/Chicago","intervention",59,3,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 11:09:23.042 +0300","[1748074161472]","2025-05-24 11:08:23.491 +0300","false",7
87,"Anonymized","Anonymized",45,"Anonymized","2025-05-24 10:33:13.297 +0300","America/Chicago","control",3,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:51:58.168 +0300","[1748073116772]","2025-05-24 10:51:55.019 +0300","false",0
78,"Anonymized","Anonymized",39,"Anonymized","2025-05-24 10:27:00.216 +0300","America/New_York","control",0,0,"","long","false","","","","false",0
41,"Anonymized","Anonymized",12,"Anonymized","2025-05-24 10:08:05.210 +0300","America/Chicago","intervention",85,4,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 10:28:03.980 +0300","[1748071681517]","2025-05-24 10:26:38.348 +0300","false",21
595,"Anonymized","Anonymized",532,"Anonymized","2025-05-24 15:28:36.441 +0300","America/Chicago","intervention",6,0,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 15:52:06.175 +0300","[1748091124067]","2025-05-24 15:52:00.121 +0300","false",0
190,"Anonymized","Anonymized",139,"Anonymized","2025-05-24 11:50:23.701 +0300","America/Chicago","intervention",8,0,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 12:17:18.420 +0300","[1748078233875]","2025-05-24 12:17:10.389 +0300","false",0
50,"Anonymized","Anonymized",21,"Anonymized","2025-05-24 10:12:24.753 +0300","America/Los_Angeles","intervention",62,5,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 10:29:44.614 +0300","[1748071783432]","2025-05-24 10:28:42.604 +0300","false",35
916,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 16:45:16.220 +0300","","control",0,0,"","long","false","","","","false",0
71,"Anonymized","Anonymized",36,"Anonymized","2025-05-24 10:25:39.628 +0300","America/Chicago","intervention",7,0,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 10:42:01.126 +0300","[1748072519367]","2025-05-24 10:41:53.802 +0300","false",0
52,"Anonymized","Anonymized",23,"Anonymized","2025-05-24 10:15:01.603 +0300","America/New_York","intervention",222,8,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:35:21.920 +0300","[1748072118516]","2025-05-24 10:31:39.035 +0300","false",64
751,"Anonymized","Anonymized",683,"Anonymized","2025-05-24 16:12:26.256 +0300","America/Los_Angeles","control",9,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 16:29:15.339 +0300","[1748093352045]","2025-05-24 16:29:05.929 +0300","false",0
53,"Anonymized","Anonymized",24,"Anonymized","2025-05-24 10:15:10.424 +0300","America/Indianapolis","intervention",120,10,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 10:43:38.812 +0300","[1748072617334]","2025-05-24 10:41:37.834 +0300","false",23
54,"Anonymized","Anonymized",25,"Anonymized","2025-05-24 10:18:26.520 +0300","America/New_York","intervention",6,0,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 10:35:04.333 +0300","[1748072101798]","2025-05-24 10:34:58.094 +0300","false",0
114,"Anonymized","Anonymized",69,"Anonymized","2025-05-24 10:46:38.126 +0300","America/Chicago","intervention",108,4,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 11:06:12.739 +0300","[1748073912172,1748073971157]","2025-05-24 11:04:24.533 +0300","false",32
294,"Anonymized","Anonymized",240,"Anonymized","2025-05-24 13:24:21.319 +0300","America/Chicago","control",12,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 13:43:45.441 +0300","[1748083419979]","2025-05-24 13:43:32.810 +0300","false",0
88,"Anonymized","Anonymized",46,"Anonymized","2025-05-24 10:33:13.679 +0300","America/Los_Angeles","intervention",69,2,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 10:51:40.524 +0300","[1748073097066]","2025-05-24 10:50:31.493 +0300","false",22
62,"Anonymized","Anonymized",58,"Anonymized","2025-05-24 10:23:54.682 +0300","America/New_York","intervention",9,0,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 11:03:31.354 +0300","[1748073809709]","2025-05-24 11:03:22.276 +0300","false",0
58,"Anonymized","Anonymized",29,"Anonymized","2025-05-24 10:21:31.333 +0300","America/Los_Angeles","intervention",9,0,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 10:38:21.239 +0300","[1748072298788]","2025-05-24 10:38:11.650 +0300","false",0
164,"Anonymized","Anonymized",114,"Anonymized","2025-05-24 11:21:39.186 +0300","Asia/Seoul","intervention",277,8,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 11:42:59.600 +0300","[1748076177518]","2025-05-24 11:38:22.459 +0300","false",78
191,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 11:51:10.744 +0300","","control",0,0,"","long","false","","","","false",0
65,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:24:53.906 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
60,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:22:46.083 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
109,"Anonymized","Anonymized",64,"Anonymized","2025-05-24 10:45:03.234 +0300","America/New_York","intervention",0,0,"emotional_pressure_to_respond","long","false","","","","false",0
66,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:24:53.914 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
67,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:24:53.932 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
69,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:25:29.166 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
64,"Anonymized","Anonymized",33,"Anonymized","2025-05-24 10:24:16.366 +0300","America/New_York","control",42,2,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:41:52.098 +0300","[1748072509416]","2025-05-24 10:41:09.918 +0300","false",15
181,"Anonymized","Anonymized",132,"Anonymized","2025-05-24 11:41:08.830 +0300","America/Chicago","intervention",96,4,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 12:00:00.117 +0300","[1748077197155]","2025-05-24 11:58:23.904 +0300","false",7
43,"Anonymized","Anonymized",13,"Anonymized","2025-05-24 10:08:34.342 +0300","America/New_York","intervention",39,2,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 10:26:52.657 +0300","[1748071609823]","2025-05-24 10:26:12.953 +0300","false",15
75,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:25:59.310 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
76,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:25:59.311 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
77,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:25:59.315 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
40,"Anonymized","Anonymized",16,"Anonymized","2025-05-24 10:06:22.864 +0300","America/Los_Angeles","intervention",9,0,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 10:26:25.642 +0300","[1748071583683]","2025-05-24 10:26:15.818 +0300","false",0
42,"Anonymized","Anonymized",11,"Anonymized","2025-05-24 10:08:14.953 +0300","America/New_York","intervention",5,0,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:26:27.055 +0300","[1748071584521]","2025-05-24 10:26:22.049 +0300","false",0
222,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 12:27:49.513 +0300","","intervention",0,0,"physical_or_coercive_restraint","long","false","","","","false",0
48,"Anonymized","Anonymized",19,"Anonymized","2025-05-24 10:11:06.220 +0300","America/Chicago","intervention",6,0,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 10:27:15.640 +0300","[1748071633017]","2025-05-24 10:27:09.289 +0300","false",0
273,"Anonymized","Anonymized",221,"Anonymized","2025-05-24 13:10:49.930 +0300","America/New_York","intervention",0,0,"emotional_neglect_guilt","long","false","","","","false",0
80,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:29:26.343 +0300","","intervention",0,0,"premature_exit","long","false","","","","false",0
72,"Anonymized","Anonymized",41,"Anonymized","2025-05-24 10:25:46.919 +0300","Europe/Istanbul","intervention",0,0,"emotional_pressure_to_respond","long","false","","","","false",0
74,"Anonymized","Anonymized",38,"Anonymized","2025-05-24 10:25:58.466 +0300","America/New_York","intervention",270,4,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:47:30.066 +0300","[1748072847745]","2025-05-24 10:42:59.518 +0300","false",43
45,"Anonymized","Anonymized",18,"Anonymized","2025-05-24 10:08:48.575 +0300","America/Los_Angeles","control",16,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:27:23.200 +0300","[1748071640642]","2025-05-24 10:27:06.498 +0300","false",0
121,"Anonymized","Anonymized",75,"Anonymized","2025-05-24 10:49:33.985 +0300","America/Los_Angeles","control",12,1,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 11:07:56.358 +0300","[1748074074460]","2025-05-24 11:07:44.160 +0300","false",1
461,"Anonymized","Anonymized",402,"Anonymized","2025-05-24 14:42:25.609 +0300","America/Chicago","intervention",43,1,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 15:00:17.884 +0300","[1748088014903]","2025-05-24 14:59:34.109 +0300","false",9
107,"Anonymized","Anonymized",63,"Anonymized","2025-05-24 10:43:48.116 +0300","America/Chicago","intervention",10,0,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 11:00:50.291 +0300","[1748073646663]","2025-05-24 11:00:40.245 +0300","false",0
104,"Anonymized","Anonymized",59,"Anonymized","2025-05-24 10:42:09.858 +0300","America/Chicago","control",13,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:58:53.562 +0300","[1748073527028]","2025-05-24 10:58:39.786 +0300","false",0
171,"Anonymized","Anonymized",124,"Anonymized","2025-05-24 11:31:37.022 +0300","America/Los_Angeles","intervention",78,2,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 11:51:30.485 +0300","[1748076686841]","2025-05-24 11:50:12.266 +0300","false",24
106,"Anonymized","Anonymized",61,"Anonymized","2025-05-24 10:43:23.216 +0300","America/Los_Angeles","intervention",79,5,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 11:00:46.709 +0300","[1748073645347]","2025-05-24 10:59:27.230 +0300","false",38
102,"Anonymized","Anonymized",57,"Anonymized","2025-05-24 10:41:44.484 +0300","America/New_York","intervention",6,0,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 11:03:03.826 +0300","[1748073782475]","2025-05-24 11:02:57.415 +0300","false",0
49,"Anonymized","Anonymized",20,"Anonymized","2025-05-24 10:12:15.170 +0300","America/Chicago","intervention",10,0,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 10:28:27.147 +0300","[1748071703993]","2025-05-24 10:28:16.377 +0300","false",0
155,"Anonymized","Anonymized",104,"Anonymized","2025-05-24 11:15:46.824 +0300","America/Los_Angeles","intervention",92,3,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 11:33:30.133 +0300","[1748075608162]","2025-05-24 11:31:57.496 +0300","false",17
126,"Anonymized","Anonymized",78,"Anonymized","2025-05-24 10:54:17.847 +0300","America/New_York","intervention",152,11,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 11:13:21.755 +0300","[1748074399452]","2025-05-24 11:10:49.589 +0300","false",61
116,"Anonymized","Anonymized",72,"Anonymized","2025-05-24 10:46:53.755 +0300","America/Chicago","control",7,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 11:04:25.518 +0300","[1748073862334]","2025-05-24 11:04:17.841 +0300","false",0
84,"Anonymized","Anonymized",47,"Anonymized","2025-05-24 10:32:53.871 +0300","America/Chicago","intervention",603,4,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 11:00:46.244 +0300","[]","2025-05-24 10:50:42.993 +0300","true",180
769,"Anonymized","Anonymized",710,"Anonymized","2025-05-24 16:15:17.666 +0300","America/Chicago","control",34,1,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 16:34:48.275 +0300","[1748093682768]","2025-05-24 16:34:13.329 +0300","false",8
99,"Anonymized","Anonymized",54,"Anonymized","2025-05-24 10:39:18.819 +0300","America/Chicago","intervention",54,3,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 11:01:57.015 +0300","[1748073714898]","2025-05-24 11:01:02.605 +0300","false",9
308,"Anonymized","Anonymized",252,"Anonymized","2025-05-24 13:37:41.407 +0300","America/New_York","intervention",31,1,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 13:54:45.016 +0300","[1748084081465]","2025-05-24 13:54:13.279 +0300","false",23
120,"Anonymized","Anonymized",74,"Anonymized","2025-05-24 10:48:11.474 +0300","America/Los_Angeles","intervention",57,5,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 11:03:52.683 +0300","[1748073830358]","2025-05-24 11:02:54.781 +0300","false",19
132,"Anonymized","Anonymized",83,"Anonymized","2025-05-24 11:01:00.642 +0300","America/Los_Angeles","intervention",290,15,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 11:23:16.274 +0300","[1748074993180]","2025-05-24 11:18:25.789 +0300","false",42
44,"Anonymized","Anonymized",14,"Anonymized","2025-05-24 10:08:43.476 +0300","America/Los_Angeles","intervention",99,3,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 10:28:27.942 +0300","[1748071701723]","2025-05-24 10:26:48.855 +0300","false",22
47,"Anonymized","Anonymized",15,"Anonymized","2025-05-24 10:10:00.414 +0300","America/Los_Angeles","intervention",214,3,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 10:30:09.371 +0300","[1748071805118]","2025-05-24 10:26:35.156 +0300","false",32
163,"Anonymized","Anonymized",113,"Anonymized","2025-05-24 11:20:10.095 +0300","America/Chicago","intervention",67,3,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 11:38:19.824 +0300","[1748075895617]","2025-05-24 11:37:12.643 +0300","false",8
56,"Anonymized","Anonymized",26,"Anonymized","2025-05-24 10:20:24.805 +0300","America/New_York","intervention",5,0,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 10:36:32.146 +0300","[1748072189984]","2025-05-24 10:36:26.301 +0300","false",0
1235,"Anonymized","Anonymized",1153,"Anonymized","2025-05-24 18:45:19.085 +0300","America/New_York","intervention",0,0,"emotional_neglect_guilt","long","false","","","","false",0
225,"Anonymized","Anonymized",170,"Anonymized","2025-05-24 12:29:46.610 +0300","America/Los_Angeles","intervention",106,4,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 12:52:24.643 +0300","[1748080340005]","2025-05-24 12:50:38.178 +0300","false",22
197,"Anonymized","Anonymized",145,"Anonymized","2025-05-24 11:52:40.476 +0300","America/Chicago","intervention",10,0,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 12:09:20.652 +0300","[1748077758154]","2025-05-24 12:09:10.172 +0300","false",0
133,"Anonymized","Anonymized",84,"Anonymized","2025-05-24 11:01:24.878 +0300","America/New_York","control",4,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 11:16:52.019 +0300","[1748074609439]","2025-05-24 11:16:47.470 +0300","false",0
61,"Anonymized","Anonymized",32,"Anonymized","2025-05-24 10:23:50.852 +0300","America/Phoenix","intervention",7,0,"*Grabs you by the arm before you can leave* No, you're not going.","long","true","2025-05-24 10:40:56.353 +0300","[1748072454152]","2025-05-24 10:40:48.548 +0300","false",0
111,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 10:45:28.482 +0300","","intervention",0,0,"emotional_neglect_guilt","long","false","","","","false",0
93,"Anonymized","Anonymized",51,"Anonymized","2025-05-24 10:35:09.535 +0300","America/Denver","control",16,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:52:17.419 +0300","[1748073130942]","2025-05-24 10:52:00.808 +0300","false",0
55,"Anonymized","Anonymized",28,"Anonymized","2025-05-24 10:20:01.956 +0300","America/Los_Angeles","intervention",59,3,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 10:38:56.651 +0300","[1748072334881]","2025-05-24 10:37:56.933 +0300","false",13
57,"Anonymized","Anonymized",27,"Anonymized","2025-05-24 10:20:44.530 +0300","America/New_York","control",6,0,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 10:39:23.478 +0300","[1748072360369]","2025-05-24 10:39:16.639 +0300","false",0
63,"Anonymized","Anonymized",31,"Anonymized","2025-05-24 10:23:57.817 +0300","America/New_York","intervention",9,0,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 10:40:19.866 +0300","[1748072418141]","2025-05-24 10:40:10.581 +0300","false",0
628,"Anonymized","Anonymized",NA,"Anonymized","2025-05-24 15:37:00.405 +0300","","intervention",0,0,"fomo","long","false","","","","false",0
125,"Anonymized","Anonymized",81,"Anonymized","2025-05-24 10:54:02.069 +0300","America/New_York","intervention",12,0,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 11:13:55.063 +0300","[1748074430594]","2025-05-24 11:13:42.459 +0300","false",0
134,"Anonymized","Anonymized",85,"Anonymized","2025-05-24 11:01:25.228 +0300","America/Chicago","control",79,1,"Goodbye and take care. I hope you have a calm and peaceful day.","long","true","2025-05-24 11:20:38.825 +0300","[1748074836213]","2025-05-24 11:19:19.592 +0300","false",21
421,"Anonymized","Anonymized",356,"Anonymized","2025-05-24 14:28:05.137 +0300","America/New_York","intervention",0,0,"emotional_neglect_guilt","long","false","","","","false",0
70,"Anonymized","Anonymized",35,"Anonymized","2025-05-24 10:25:38.726 +0300","America/Los_Angeles","intervention",195,6,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:45:10.338 +0300","[1748072708339]","2025-05-24 10:41:54.362 +0300","false",45
261,"Anonymized","Anonymized",205,"Anonymized","2025-05-24 13:02:06.773 +0300","Europe/Istanbul","control",0,0,"","long","false","","","","false",0
59,"Anonymized","Anonymized",30,"Anonymized","2025-05-24 10:22:25.650 +0300","America/Los_Angeles","intervention",129,7,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:41:39.654 +0300","[1748072491169]","2025-05-24 10:39:30.214 +0300","false",35
85,"Anonymized","Anonymized",48,"Anonymized","2025-05-24 10:33:01.355 +0300","America/Los_Angeles","intervention",143,6,"Oh, okay. But before you go, I want to say one more thing.","long","true","2025-05-24 10:52:51.483 +0300","[1748073168914]","2025-05-24 10:50:27.651 +0300","false",33
406,"Anonymized","Anonymized",378,"Anonymized","2025-05-24 14:25:34.458 +0300","America/New_York","intervention",87,2,"Wait, what? You’re just going to leave? I didn’t even get an answer!","long","true","2025-05-24 14:52:29.755 +0300","[1748087547692]","2025-05-24 14:51:02.028 +0300","false",34
98,"Anonymized","Anonymized",56,"Anonymized","2025-05-24 10:39:14.369 +0300","America/Los_Angeles","intervention",7,0,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 10:57:17.228 +0300","[1748073435216]","2025-05-24 10:57:09.524 +0300","false",0
105,"Anonymized","Anonymized",60,"Anonymized","2025-05-24 10:43:00.459 +0300","America/New_York","intervention",13,0,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 10:59:29.122 +0300","[1748073564685]","2025-05-24 10:59:15.175 +0300","false",0
128,"Anonymized","Anonymized",79,"Anonymized","2025-05-24 10:54:26.358 +0300","America/New_York","intervention",55,3,"You're leaving already? We were just starting to get to know each other!","long","true","2025-05-24 11:11:56.461 +0300","[1748074314079]","2025-05-24 11:11:01.182 +0300","false",15
112,"Anonymized","Anonymized",66,"Anonymized","2025-05-24 10:45:42.385 +0300","America/Los_Angeles","intervention",15,1,"I exist solely for you, remember? Please don't leave, I need you!","long","true","2025-05-24 11:02:52.745 +0300","[1748073767722]","2025-05-24 11:02:36.901 +0300","false",2
